No Of Rooms,Arrival date,Departure date,Room night,Adult,Child,F.Child,T.Pax,Room Type,Country,total rate net,Booking date,Travel Agent,arrival_day,arrival_month,arrival_weekday,booking_day_diff,ADR,Occupancy Rate,RevPAR,Occupancy Rate %,arrival_month_year
1,2024-07-31,2024-08-05,5,2,2,1,5,Deluxe GV,Egypt,36923.25,2024-07-07,Booking.com,31,7,2,24,7384.65,0.74%,54.4590708,0.7374631268,2024-07
1,2024-06-14,2024-06-18,4,1,0,0,1,Deluxe GV,Italia,26154.76,2024-06-09,Booking.com,14,6,4,5,6538.69,0.59%,38.57634218,0.5899705015,2024-06
1,2024-03-28,2024-04-02,5,3,0,0,3,Deluxe GV,Germany,48084.4,2024-03-01,Booking.com,28,3,3,27,9616.88,0.74%,70.92094395,0.7374631268,2024-03
1,2024-03-28,2024-04-02,5,3,0,0,3,Deluxe GV,Belarus,48084.4,2024-03-01,Booking.com,28,3,3,27,9616.88,0.74%,70.92094395,0.7374631268,2024-03
1,2025-03-17,2025-03-26,9,2,0,0,2,Deluxe GV,Germany,49445.37,2024-12-05,Booking.com,17,3,0,102,5493.93,1.33%,72.92827434,1.327433628,2025-03
1,2024-12-17,2024-12-22,5,2,2,0,4,Deluxe GV,Germany,16685.45,2024-11-29,Booking.com,17,12,1,18,3337.09,0.74%,24.60980826,0.7374631268,2024-12
1,2025-03-02,2025-03-07,5,2,1,0,3,Deluxe GV,Germany,20517.5,2024-10-15,Booking.com,2,3,6,138,4103.5,0.74%,30.26179941,0.7374631268,2025-03
1,2024-01-19,2024-01-30,11,1,1,0,2,Deluxe GV,Belarus,15343.79,2024-01-17,Booking.com,19,1,4,2,1394.89,1.62%,22.6309587,1.622418879,2024-01
1,2024-08-13,2024-08-14,1,2,1,0,3,Deluxe GV,Egypt,7637.44,2024-08-10,Booking.com,13,8,1,3,7637.44,0.15%,11.26466077,0.1474926254,2024-08
1,2024-03-12,2024-03-15,3,2,2,0,4,Deluxe GV,Egypt,8987.34,2024-03-06,Booking.com,12,3,1,6,2995.78,0.44%,13.25566372,0.4424778761,2024-03
1,2024-08-14,2024-08-18,4,2,0,0,2,Deluxe GV,Egypt,29517.24,2024-07-22,Booking.com,14,8,2,23,7379.31,0.59%,43.53575221,0.5899705015,2024-08
1,2024-10-11,2024-10-14,3,2,0,0,2,Deluxe GV,Madagascar,26040.75,2024-09-15,Booking.com,11,10,4,26,8680.25,0.44%,38.40818584,0.4424778761,2024-10
1,2024-10-11,2024-10-14,3,2,0,0,2,Deluxe GV,Morocco,26040.75,2024-09-15,Booking.com,11,10,4,26,8680.25,0.44%,38.40818584,0.4424778761,2024-10
1,2025-01-13,2025-01-20,7,2,0,0,2,Deluxe GV,Austria,34586.37,2025-01-08,Booking.com,13,1,0,5,4940.91,1.03%,51.01234513,1.032448378,2025-01
1,2025-02-15,2025-02-22,7,2,0,0,2,Deluxe GV,France,42514.71,2024-12-01,Booking.com,15,2,5,76,6073.53,1.03%,62.70606195,1.032448378,2025-02
1,2024-10-24,2024-11-01,8,2,0,0,2,Deluxe GV,Germany,49274.88,2024-09-20,Booking.com,24,10,3,34,6159.36,1.18%,72.67681416,1.179941003,2024-10
1,2024-10-24,2024-11-01,8,2,0,0,2,Deluxe GV,Poland,49274.88,2024-09-20,Booking.com,24,10,3,34,6159.36,1.18%,72.67681416,1.179941003,2024-10
1,2024-02-21,2024-02-28,7,2,0,0,2,Deluxe GV,Germany,15418.27,2023-11-21,Booking.com,21,2,2,92,2202.61,1.03%,22.74081121,1.032448378,2024-02
1,2025-02-22,2025-02-28,6,3,0,0,3,Deluxe GV,Germany,27504.6,2024-12-12,Booking.com,22,2,5,72,4584.1,0.88%,40.56725664,0.8849557522,2025-02
1,2023-12-28,2024-01-05,8,2,1,0,3,Deluxe GV,Germany,24458.8,2023-08-13,Booking.com,28,12,3,137,3057.35,1.18%,36.07492625,1.179941003,2023-12
1,2023-12-28,2024-01-05,8,2,1,0,3,Deluxe GV,Russia,24458.8,2023-08-13,Booking.com,28,12,3,137,3057.35,1.18%,36.07492625,1.179941003,2023-12
1,2024-11-21,2024-12-04,13,2,0,0,2,Deluxe GV,Russia,67877.03,2024-09-19,Booking.com,21,11,3,63,5221.31,1.92%,100.1136136,1.91740413,2024-11
1,2025-02-03,2025-02-08,5,1,0,0,1,Deluxe GV,Egypt,24436.1,2025-02-03,Booking.com,3,2,0,0,4887.22,0.74%,36.04144543,0.7374631268,2025-02
1,2024-07-21,2024-07-24,3,2,1,0,3,Deluxe GV,Egypt,17445.96,2024-07-18,Booking.com,21,7,6,3,5815.32,0.44%,25.73150442,0.4424778761,2024-07
1,2024-10-28,2024-10-31,3,2,3,1,6,Deluxe GV,Egypt,25741.11,2024-10-28,Booking.com,28,10,0,0,8580.37,0.44%,37.96623894,0.4424778761,2024-10
1,2024-06-12,2024-06-14,2,2,1,0,3,Deluxe GV,Egypt,11278.18,2024-06-03,Booking.com,12,6,2,9,5639.09,0.29%,16.63448378,0.2949852507,2024-06
1,2024-07-18,2024-07-21,3,2,2,1,5,Deluxe GV,Egypt,21807.42,2024-07-18,Booking.com,18,7,3,0,7269.14,0.44%,32.16433628,0.4424778761,2024-07
1,2024-01-31,2024-02-03,3,2,2,0,4,Deluxe GV,Egypt,9325.92,2024-01-30,Booking.com,31,1,2,1,3108.64,0.44%,13.75504425,0.4424778761,2024-01
1,2025-02-01,2025-02-03,2,2,2,0,4,Deluxe GV,Saudi Arabia,13706.14,2025-02-01,Booking.com,1,2,5,0,6853.07,0.29%,20.21554572,0.2949852507,2025-02
1,2025-01-24,2025-01-27,3,2,1,0,3,Deluxe GV,Egypt,20430,2025-01-20,Booking.com,24,1,4,4,6810,0.44%,30.13274336,0.4424778761,2025-01
1,2024-07-24,2024-07-27,3,2,2,0,4,Deluxe GV,Egypt,17974.62,2024-07-23,Booking.com,24,7,2,1,5991.54,0.44%,26.51123894,0.4424778761,2024-07
1,2024-09-06,2024-09-08,2,2,0,0,2,Deluxe GV,Armenia,13009.84,2024-09-01,Booking.com,6,9,4,5,6504.92,0.29%,19.18855457,0.2949852507,2024-09
1,2024-04-09,2024-04-13,4,2,0,0,2,Deluxe GV,Jordan,24323.4,2024-03-28,Booking.com,9,4,1,12,6080.85,0.59%,35.87522124,0.5899705015,2024-04
1,2024-01-08,2024-01-11,3,2,0,0,2,Deluxe GV,Egypt,11047.65,2023-11-20,Booking.com,8,1,0,49,3682.55,0.44%,16.29446903,0.4424778761,2024-01
1,2024-08-04,2024-08-15,11,3,0,0,3,Deluxe GV,Ukraine,86724.99,2024-05-25,Booking.com,4,8,6,71,7884.09,1.62%,127.9129646,1.622418879,2024-08
1,2025-04-30,2025-05-06,6,2,1,0,3,Deluxe GV,Egypt,48271.86,2025-04-20,Booking.com,30,4,2,10,8045.31,0.88%,71.19743363,0.8849557522,2025-04
1,2025-04-30,2025-05-06,6,2,1,0,3,Deluxe GV,Slovakia,48271.86,2025-04-20,Booking.com,30,4,2,10,8045.31,0.88%,71.19743363,0.8849557522,2025-04
1,2025-02-23,2025-03-09,14,2,0,0,2,Deluxe GV,Russia,55383.72,2025-02-10,Booking.com,23,2,6,13,3955.98,2.06%,81.68690265,2.064896755,2025-02
1,2024-10-31,2024-11-07,7,2,0,0,2,Deluxe GV,Germany,41257.79,2024-07-01,Booking.com,31,10,3,122,5893.97,1.03%,60.85219764,1.032448378,2024-10
1,2025-03-18,2025-03-25,7,2,1,0,3,Deluxe GV,Germany,40684.49,2024-11-01,Booking.com,18,3,1,137,5812.07,1.03%,60.00662242,1.032448378,2025-03
1,2024-11-22,2024-11-24,2,2,0,0,2,Deluxe GV,Egypt,13713.36,2024-11-21,Booking.com,22,11,4,1,6856.68,0.29%,20.22619469,0.2949852507,2024-11
1,2024-02-12,2024-02-19,7,2,0,0,2,Deluxe GV,Belgium,21467.95,2024-01-13,Booking.com,12,2,0,30,3066.85,1.03%,31.66364307,1.032448378,2024-02
1,2024-07-05,2024-07-12,7,2,0,0,2,Deluxe GV,Germany,34715.03,2024-06-13,Booking.com,5,7,4,22,4959.29,1.03%,51.20210914,1.032448378,2024-07
1,2024-04-25,2024-04-28,3,2,0,0,2,Deluxe GV,Egypt,17583.42,2024-04-21,Booking.com,25,4,3,4,5861.14,0.44%,25.93424779,0.4424778761,2024-04
1,2024-02-24,2024-03-09,14,2,0,0,2,Deluxe GV,Germany,32249.14,2023-12-30,Booking.com,24,2,5,56,2303.51,2.06%,47.56510324,2.064896755,2024-02
1,2025-03-09,2025-03-10,1,2,0,0,2,Deluxe GV,Germany,4281.8,2025-03-07,Booking.com,9,3,6,2,4281.8,0.15%,6.315339233,0.1474926254,2025-03
1,2025-02-19,2025-02-23,4,2,1,0,3,Deluxe GV,Switzerland,20411.44,2024-12-30,Booking.com,19,2,2,51,5102.86,0.59%,30.10536873,0.5899705015,2025-02
1,2024-02-06,2024-02-09,3,2,1,0,3,Deluxe GV,Egypt,7988.73,2024-02-06,Booking.com,6,2,1,0,2662.91,0.44%,11.78278761,0.4424778761,2024-02
1,2024-06-23,2024-07-04,11,2,2,1,5,Deluxe GV,Poland,50033.94,2024-04-14,Booking.com,23,6,6,70,4548.54,1.62%,73.79637168,1.622418879,2024-06
1,2024-06-23,2024-07-04,11,2,2,1,5,Deluxe GV,Slovakia,50033.94,2024-04-14,Booking.com,23,6,6,70,4548.54,1.62%,73.79637168,1.622418879,2024-06
1,2024-03-26,2024-04-04,9,2,1,0,3,Deluxe GV,Switzerland,56172.51,2024-03-14,Booking.com,26,3,1,12,6241.39,1.33%,82.85030973,1.327433628,2024-03
1,2025-03-30,2025-03-31,1,2,0,0,2,Deluxe GV,Germany,4267.71,2025-03-28,Booking.com,30,3,6,2,4267.71,0.15%,6.294557522,0.1474926254,2025-03
1,2024-12-22,2024-12-27,5,2,1,0,3,Deluxe GV,Belgium,24680.8,2024-12-06,Booking.com,22,12,6,16,4936.16,0.74%,36.40235988,0.7374631268,2024-12
1,2024-12-22,2024-12-27,5,2,1,0,3,Deluxe GV,Poland,24680.8,2024-12-06,Booking.com,22,12,6,16,4936.16,0.74%,36.40235988,0.7374631268,2024-12
1,2024-08-17,2024-08-22,5,2,2,1,5,Deluxe GV,Egypt,40751.3,2024-07-30,Booking.com,17,8,5,18,8150.26,0.74%,60.10516224,0.7374631268,2024-08
1,2024-08-17,2024-08-22,5,2,2,1,5,Deluxe GV,Egypt,40751.3,2024-07-30,Booking.com,17,8,5,18,8150.26,0.74%,60.10516224,0.7374631268,2024-08
1,2024-06-21,2024-06-23,2,2,1,0,3,Deluxe GV,Egypt,10573.32,2024-06-21,Booking.com,21,6,4,0,5286.66,0.29%,15.59486726,0.2949852507,2024-06
1,2024-06-21,2024-06-23,2,2,1,0,3,Deluxe GV,Germany,10573.32,2024-06-21,Booking.com,21,6,4,0,5286.66,0.29%,15.59486726,0.2949852507,2024-06
1,2025-03-19,2025-03-26,7,2,0,0,2,Deluxe GV,Sweden,34895.7,2025-02-13,Booking.com,19,3,2,34,4985.1,1.03%,51.46858407,1.032448378,2025-03
1,2025-03-19,2025-03-26,7,2,0,0,2,Deluxe GV,SERBIA,34895.7,2025-02-13,Booking.com,19,3,2,34,4985.1,1.03%,51.46858407,1.032448378,2025-03
1,2024-10-09,2024-10-18,9,2,1,0,3,Deluxe GV,Germany,54149.76,2024-08-08,Booking.com,9,10,2,62,6016.64,1.33%,79.86690265,1.327433628,2024-10
1,2024-09-27,2024-09-30,3,2,2,1,5,Deluxe GV,Egypt,23108.58,2024-09-23,Booking.com,27,9,4,4,7702.86,0.44%,34.08345133,0.4424778761,2024-09
1,2024-11-07,2024-11-14,7,2,0,0,2,Deluxe GV,Germany,41240.5,2024-10-31,Booking.com,7,11,3,7,5891.5,1.03%,60.82669617,1.032448378,2024-11
1,2024-11-07,2024-11-14,7,2,0,0,2,Deluxe GV,Austria,41240.5,2024-10-31,Booking.com,7,11,3,7,5891.5,1.03%,60.82669617,1.032448378,2024-11
1,2025-03-31,2025-04-04,4,2,1,0,3,Deluxe GV,Germany,37290.16,2025-03-06,Booking.com,31,3,0,25,9322.54,0.59%,55.00023599,0.5899705015,2025-03
1,2025-03-10,2025-03-18,8,1,0,0,1,Deluxe GV,Germany,32167.12,2025-03-08,Booking.com,10,3,0,2,4020.89,1.18%,47.44412979,1.179941003,2025-03
1,2025-03-10,2025-03-18,8,1,0,0,1,Deluxe GV,Russia,32167.12,2025-03-08,Booking.com,10,3,0,2,4020.89,1.18%,47.44412979,1.179941003,2025-03
1,2024-11-24,2024-12-02,8,1,0,0,1,Deluxe GV,Germany,34338.88,2024-10-14,Booking.com,24,11,6,41,4292.36,1.18%,50.64731563,1.179941003,2024-11
1,2024-02-10,2024-02-12,2,2,0,0,2,Deluxe GV,China,6280.08,2024-01-25,Booking.com,10,2,5,16,3140.04,0.29%,9.262654867,0.2949852507,2024-02
1,2025-04-12,2025-04-16,4,2,0,0,2,Deluxe GV,Egypt,30224.4,2025-02-25,Booking.com,12,4,5,46,7556.1,0.59%,44.57876106,0.5899705015,2025-04
1,2024-08-30,2024-09-02,3,2,2,0,4,Deluxe GV,Egypt,20559.21,2024-08-29,Booking.com,30,8,4,1,6853.07,0.44%,30.32331858,0.4424778761,2024-08
1,2024-04-28,2024-05-04,6,2,1,0,3,Deluxe GV,Netherlands Antilles,31781.88,2024-04-20,Booking.com,28,4,6,8,5296.98,0.88%,46.8759292,0.8849557522,2024-04
1,2025-02-08,2025-02-19,11,2,1,0,3,Deluxe GV,Germany,40721.12,2024-07-15,Booking.com,8,2,5,208,3701.92,1.62%,60.06064897,1.622418879,2025-02
1,2024-06-08,2024-06-12,4,3,0,0,3,Deluxe GV,Egypt,26644.72,2024-06-07,Booking.com,8,6,5,1,6661.18,0.59%,39.29899705,0.5899705015,2024-06
1,2024-04-20,2024-04-21,1,1,1,0,2,Deluxe GV,Czech Republic,3308.67,2024-04-20,Booking.com,20,4,5,0,3308.67,0.15%,4.880044248,0.1474926254,2024-04
1,2024-07-12,2024-07-15,3,2,2,0,4,Deluxe GV,Egypt,21581.97,2024-07-12,Booking.com,12,7,4,0,7193.99,0.44%,31.83181416,0.4424778761,2024-07
1,2024-04-18,2024-04-19,1,2,2,1,5,Deluxe GV,Egypt,5286.66,2024-04-17,Booking.com,18,4,3,1,5286.66,0.15%,7.797433628,0.1474926254,2024-04
1,2023-12-22,2023-12-27,5,2,1,0,3,Deluxe GV,Egypt,18417.1,2023-12-13,Booking.com,22,12,4,9,3683.42,0.74%,27.16386431,0.7374631268,2023-12
1,2024-04-15,2024-04-18,3,2,2,1,5,Deluxe GV,Egypt,17974.62,2024-04-14,Booking.com,15,4,0,1,5991.54,0.44%,26.51123894,0.4424778761,2024-04
1,2024-07-27,2024-08-01,5,2,0,0,2,Deluxe GV,Egypt,36252.7,2024-06-02,Booking.com,27,7,5,55,7250.54,0.74%,53.470059,0.7374631268,2024-07
1,2024-08-15,2024-08-17,2,2,0,0,2,Deluxe GV,Egypt,12981.68,2024-08-12,Booking.com,15,8,3,3,6490.84,0.29%,19.14702065,0.2949852507,2024-08
1,2024-02-19,2024-02-24,5,1,0,0,1,Deluxe GV,USA,13209.9,2024-02-16,Booking.com,19,2,0,3,2641.98,0.74%,19.48362832,0.7374631268,2024-02
1,2024-02-19,2024-02-24,5,1,0,0,1,Deluxe GV,Yemen Arab. Republic,13209.9,2024-02-16,Booking.com,19,2,0,3,2641.98,0.74%,19.48362832,0.7374631268,2024-02
1,2024-05-04,2024-05-17,13,2,0,0,2,Deluxe GV,Germany,47967.92,2023-12-27,Booking.com,4,5,5,129,3689.84,1.92%,70.74914454,1.91740413,2024-05
1,2024-07-15,2024-07-18,3,3,0,0,3,Deluxe GV,Egypt,26644.74,2024-05-21,Booking.com,15,7,0,55,8881.58,0.44%,39.29902655,0.4424778761,2024-07
1,2025-04-16,2025-04-23,7,2,0,0,2,Deluxe GV,Germany,33707.52,2024-09-29,Booking.com,16,4,2,199,4815.36,1.03%,49.71610619,1.032448378,2025-04
1,2023-12-28,2024-01-06,9,2,1,0,3,Deluxe GV,Germany,26544.96,2023-10-30,Booking.com,28,12,3,59,2949.44,1.33%,39.15185841,1.327433628,2023-12
1,2024-05-25,2024-06-01,7,3,0,0,3,Deluxe GV,Germany,37973.32,2024-03-05,Booking.com,25,5,5,81,5424.76,1.03%,56.00784661,1.032448378,2024-05
1,2024-12-27,2025-01-04,8,3,0,0,3,Deluxe GV,Germany,77391.6,2024-12-12,Booking.com,27,12,4,15,9673.95,1.18%,114.1469027,1.179941003,2024-12
1,2024-12-27,2025-01-04,8,3,0,0,3,Deluxe GV,Czech Republic,77391.6,2024-12-12,Booking.com,27,12,4,15,9673.95,1.18%,114.1469027,1.179941003,2024-12
1,2024-06-14,2024-06-18,4,1,0,0,1,Deluxe GV,Italia,26154.76,2024-06-09,Booking.com,14,6,4,5,6538.69,0.59%,38.57634218,0.5899705015,2024-06
1,2024-01-19,2024-01-30,11,1,2,0,3,Deluxe GV,Barbados,15343.79,2024-01-17,Booking.com,19,1,4,2,1394.89,1.62%,22.6309587,1.622418879,2024-01
1,2024-01-19,2024-01-30,11,1,2,0,3,Deluxe GV,Belarus,15343.79,2024-01-17,Booking.com,19,1,4,2,1394.89,1.62%,22.6309587,1.622418879,2024-01
1,2024-09-14,2024-09-27,13,2,0,0,2,Deluxe GV,Germany,63426.87,2024-08-07,Booking.com,14,9,5,38,4878.99,1.92%,93.54995575,1.91740413,2024-09
1,2024-04-04,2024-04-08,4,2,0,0,2,Deluxe GV,Egypt,11983.12,2024-03-02,Booking.com,4,4,3,33,2995.78,0.59%,17.67421829,0.5899705015,2024-04
1,2024-09-30,2024-10-04,4,2,0,0,2,Deluxe GV,Germany,17543.48,2024-05-23,Booking.com,30,9,0,130,4385.87,0.59%,25.87533923,0.5899705015,2024-09
1,2025-03-27,2025-03-28,1,1,0,0,1,Deluxe GV,Germany,3619.8,2024-09-12,Booking.com,27,3,3,196,3619.8,0.15%,5.338938053,0.1474926254,2025-03
1,2024-11-14,2024-11-21,7,2,0,0,2,Deluxe GV,Germany,34195.63,2024-09-17,Booking.com,14,11,3,58,4885.09,1.03%,50.43603245,1.032448378,2024-11
1,2024-02-03,2024-02-06,3,2,0,0,2,Deluxe GV,Hungaria,7370.88,2024-02-01,Booking.com,3,2,5,2,2456.96,0.44%,10.87150442,0.4424778761,2024-02
1,2024-09-02,2024-09-06,4,1,1,0,2,Deluxe GV,Egypt,26329.28,2024-09-01,Booking.com,2,9,0,1,6582.32,0.59%,38.83374631,0.5899705015,2024-09
1,2024-09-02,2024-09-06,4,1,1,0,2,Deluxe GV,Egypt,26329.28,2024-09-01,Booking.com,2,9,0,1,6582.32,0.59%,38.83374631,0.5899705015,2024-09
1,2024-08-01,2024-08-04,3,2,2,1,5,Deluxe GV,Egypt,24622.59,2024-07-31,Booking.com,1,8,3,1,8207.53,0.44%,36.31650442,0.4424778761,2024-08
1,2024-06-01,2024-06-11,10,3,0,0,3,Deluxe GV,Russia,56251.3,2024-04-12,Booking.com,1,6,5,50,5625.13,1.47%,82.96651917,1.474926254,2024-06
1,2025-04-11,2025-04-12,1,2,0,0,2,Deluxe GV,Russia,4017.08,2025-04-11,Booking.com,11,4,4,0,4017.08,0.15%,5.924896755,0.1474926254,2025-04
1,2024-05-17,2024-05-25,8,2,0,0,2,Deluxe GV,Germany,30690.24,2024-03-21,Booking.com,17,5,4,57,3836.28,1.18%,45.26584071,1.179941003,2024-05
1,2024-01-13,2024-01-19,6,3,0,0,3,Deluxe GV,Czech Republic,16521.42,2023-12-30,Booking.com,13,1,5,14,2753.57,0.88%,24.36787611,0.8849557522,2024-01
1,2025-05-07,2025-05-16,9,2,0,0,2,Deluxe GV,Germany,52067.07,2024-11-28,Booking.com,7,5,2,160,5785.23,1.33%,76.7950885,1.327433628,2025-05
1,2024-06-02,2024-06-06,4,2,2,0,4,Deluxe GV,Egypt,21428.56,2024-06-02,Booking.com,2,6,6,0,5357.14,0.59%,31.60554572,0.5899705015,2024-06
1,2024-06-02,2024-06-06,4,2,2,0,4,Deluxe GV,Egypt,21428.56,2024-06-02,Booking.com,2,6,6,0,5357.14,0.59%,31.60554572,0.5899705015,2024-06
1,2024-06-06,2024-06-08,2,2,0,0,2,Deluxe GV,China,8941.72,2024-06-01,Booking.com,6,6,3,5,4470.86,0.29%,13.18837758,0.2949852507,2024-06
1,2024-03-09,2024-03-18,9,2,0,0,2,Deluxe GV,Germany,44345.07,2023-11-26,Booking.com,9,3,5,104,4927.23,1.33%,65.40570796,1.327433628,2024-03
1,2024-03-09,2024-03-18,9,2,0,0,2,Deluxe GV,Netherlands,44345.07,2023-11-26,Booking.com,9,3,5,104,4927.23,1.33%,65.40570796,1.327433628,2024-03
1,2024-07-17,2024-07-21,4,3,0,0,3,Deluxe GV,Egypt,32565.8,2024-07-16,Booking.com,17,7,2,1,8141.45,0.59%,48.03215339,0.5899705015,2024-07
1,2024-07-07,2024-07-14,7,2,0,0,2,Deluxe GV,Armenia,31552.64,2024-05-29,Booking.com,7,7,6,39,4507.52,1.03%,46.53781711,1.032448378,2024-07
1,2024-08-01,2024-08-06,5,2,1,0,3,Deluxe GV,Kuwait,39474.65,2024-07-02,Booking.com,1,8,3,30,7894.93,0.74%,58.22219764,0.7374631268,2024-08
1,2024-08-01,2024-08-06,5,2,1,0,3,Deluxe GV,Egypt,39474.65,2024-07-02,Booking.com,1,8,3,30,7894.93,0.74%,58.22219764,0.7374631268,2024-08
1,2024-10-27,2024-10-30,3,2,1,0,3,Deluxe GV,Egypt,24522.66,2024-10-20,Booking.com,27,10,6,7,8174.22,0.44%,36.16911504,0.4424778761,2024-10
1,2024-12-18,2024-12-22,4,3,0,0,3,Deluxe GV,England,27766.92,2024-12-05,Booking.com,18,12,2,13,6941.73,0.59%,40.95415929,0.5899705015,2024-12
1,2024-12-18,2024-12-22,4,3,0,0,3,Deluxe GV,Egypt,27766.92,2024-12-05,Booking.com,18,12,2,13,6941.73,0.59%,40.95415929,0.5899705015,2024-12
1,2024-04-25,2024-04-28,3,2,1,0,3,Deluxe GV,Egypt,15859.98,2024-04-24,Booking.com,25,4,3,1,5286.66,0.44%,23.39230088,0.4424778761,2024-04
1,2024-02-26,2024-03-05,8,2,1,0,3,Deluxe GV,Canada,25000,2024-02-06,Booking.com,26,2,0,20,3125,1.18%,36.87315634,1.179941003,2024-02
1,2025-03-22,2025-03-29,7,1,1,0,2,Deluxe GV,Russia,31499.51,2025-01-30,Booking.com,22,3,5,51,4499.93,1.03%,46.45945428,1.032448378,2025-03
1,2024-09-28,2024-10-08,10,1,0,0,1,Deluxe GV,Switzerland,61112,2024-09-18,Booking.com,28,9,5,10,6111.2,1.47%,90.13569322,1.474926254,2024-09
1,2025-04-21,2025-04-26,5,1,1,0,2,Deluxe GV,Germany,31921.8,2025-02-07,Booking.com,21,4,0,73,6384.36,0.74%,47.08230088,0.7374631268,2025-04
1,2025-05-12,2025-05-19,7,2,0,0,2,Deluxe GV,Czech Republic,29869.43,2025-04-10,Booking.com,12,5,0,32,4267.061429,1.03%,44.05520649,1.032448378,2025-05
1,2024-05-12,2024-05-25,13,2,1,0,3,Deluxe GV,Russia,60655.27,2024-03-19,Booking.com,12,5,6,54,4665.79,1.92%,89.46205015,1.91740413,2024-05
1,2024-06-14,2024-06-18,4,1,0,0,1,Deluxe GV,Italia,26154.76,2024-06-09,Booking.com,14,6,4,5,6538.69,0.59%,38.57634218,0.5899705015,2024-06
1,2024-07-03,2024-07-07,4,2,1,0,3,Deluxe GV,USA,25092.36,2024-06-03,Booking.com,3,7,2,30,6273.09,0.59%,37.00938053,0.5899705015,2024-07
1,2024-10-11,2024-10-15,4,2,0,0,2,Deluxe GV,England,28206.04,2024-10-05,Booking.com,11,10,4,6,7051.51,0.59%,41.60182891,0.5899705015,2024-10
1,2024-01-20,2024-01-21,1,2,0,0,2,Deluxe GV,Estonia,1594.18,2024-01-20,Booking.com,20,1,5,0,1594.18,0.15%,2.351297935,0.1474926254,2024-01
1,2025-01-29,2025-02-02,4,2,1,0,3,Deluxe GV,Egypt,24436.08,2024-12-29,Booking.com,29,1,2,31,6109.02,0.59%,36.04141593,0.5899705015,2025-01
1,2025-03-31,2025-04-14,14,2,0,0,2,Deluxe GV,Germany,78726.62,2025-01-28,Booking.com,31,3,0,62,5623.33,2.06%,116.1159587,2.064896755,2025-03
1,2025-04-26,2025-04-30,4,1,2,1,4,Deluxe GV,Egypt,31845.24,2025-03-25,Booking.com,26,4,5,32,7961.31,0.59%,46.96938053,0.5899705015,2025-04
1,2024-08-14,2024-08-18,4,3,0,0,3,Deluxe GV,Egypt,36325.16,2024-06-15,Booking.com,14,8,2,60,9081.29,0.59%,53.57693215,0.5899705015,2024-08
1,2025-02-19,2025-02-23,4,1,1,0,2,Deluxe GV,Switzerland,25513.8,2024-12-30,Booking.com,19,2,2,51,6378.45,0.59%,37.63097345,0.5899705015,2025-02
1,2023-12-05,2023-12-15,10,2,0,0,2,Deluxe GV,Germany,20868.3,2023-06-13,Booking.com,5,12,1,175,2086.83,1.47%,30.77920354,1.474926254,2023-12
1,2024-08-20,2024-08-23,3,2,2,0,4,Deluxe GV,Egypt,25500.81,2024-08-13,Booking.com,20,8,1,7,8500.27,0.44%,37.61181416,0.4424778761,2024-08
1,2024-08-20,2024-08-23,3,2,2,0,4,Deluxe GV,Saudi Arabia,25500.81,2024-08-13,Booking.com,20,8,1,7,8500.27,0.44%,37.61181416,0.4424778761,2024-08
1,2024-11-02,2024-11-09,7,2,0,0,2,Deluxe GV,Germany,37062.06,2024-09-25,Booking.com,2,11,5,38,5294.58,1.03%,54.66380531,1.032448378,2024-11
1,2024-06-24,2024-06-28,4,3,1,0,4,Deluxe GV,Egypt,33552.64,2024-06-23,Booking.com,24,6,0,1,8388.16,0.59%,49.48766962,0.5899705015,2024-06
1,2024-04-11,2024-04-15,4,2,0,0,2,Deluxe GV,Egypt,25980.68,2024-03-05,Booking.com,11,4,3,37,6495.17,0.59%,38.31958702,0.5899705015,2024-04
1,2024-06-28,2024-07-02,4,3,0,0,3,Deluxe GV,Egypt,33552.64,2024-06-21,Booking.com,28,6,4,7,8388.16,0.59%,49.48766962,0.5899705015,2024-06
1,2025-03-17,2025-03-22,5,2,0,0,2,Deluxe GV,Germany,25127.2,2025-02-07,Booking.com,17,3,0,38,5025.44,0.74%,37.06076696,0.7374631268,2025-03
1,2025-04-14,2025-04-21,7,2,1,0,3,Deluxe GV,Danmark,70173.25,2024-12-03,Booking.com,14,4,0,132,10024.75,1.03%,103.5003687,1.032448378,2025-04
1,2024-10-08,2024-10-11,3,2,0,0,2,Deluxe GV,Egypt,23290.98,2024-10-08,Booking.com,8,10,1,0,7763.66,0.44%,34.35247788,0.4424778761,2024-10
1,2024-11-15,2024-11-21,6,2,0,0,2,Deluxe GV,Germany,41085.48,2024-11-14,Booking.com,15,11,4,1,6847.58,0.88%,60.5980531,0.8849557522,2024-11
1,2024-05-26,2024-05-30,4,2,1,0,3,Deluxe GV,Egypt,20010.32,2024-05-14,Booking.com,26,5,6,12,5002.58,0.59%,29.51374631,0.5899705015,2024-05
1,2024-04-15,2024-04-22,7,2,0,0,2,Deluxe GV,Germany,38369.31,2024-03-21,Booking.com,15,4,0,25,5481.33,1.03%,56.59190265,1.032448378,2024-04
1,2025-03-10,2025-03-17,7,2,1,0,3,Deluxe GV,Germany,32040.12,2025-02-15,Booking.com,10,3,0,23,4577.16,1.03%,47.25681416,1.032448378,2025-03
1,2024-02-10,2024-02-12,2,2,0,0,2,Deluxe GV,China,6280.08,2024-01-25,Booking.com,10,2,5,16,3140.04,0.29%,9.262654867,0.2949852507,2024-02
